image_filename,text
eng_AF_001_0.jpg,SPECIAL_CHARACTER
eng_AF_001_1.jpg,SPECIAL_CHARACTER
eng_AF_001_2.jpg,Picture
eng_AF_001_3.jpg,ID.
eng_AF_001_4.jpg,and
eng_AF_001_5.jpg,Passport
eng_AF_001_6.jpg,photo
eng_AF_001_7.jpg,SPECIAL_CHARACTER
eng_AF_001_8.jpg,2015
eng_AF_001_9.jpg,sep
eng_AF_001_10.jpg,license
eng_AF_001_11.jpg,SPECIAL_CHARACTER
eng_AF_001_12.jpg,Mck
eng_AF_001_13.jpg,SPECIAL_CHARACTER
eng_AF_001_14.jpg,Sales
eng_AF_001_15.jpg,Letter
eng_AF_001_16.jpg,SPECIAL_CHARACTER
eng_AF_001_17.jpg,Old
eng_AF_001_18.jpg,Proof
eng_AF_001_19.jpg,ownership
eng_AF_002_0.jpg,Coneordin
eng_AF_002_1.jpg,Sweet
eng_AF_002_2.jpg,is
eng_AF_002_3.jpg,the
eng_AF_002_4.jpg,Memory
eng_AF_002_5.jpg,of
eng_AF_002_6.jpg,the
eng_AF_002_7.jpg,Righteous
eng_AF_002_8.jpg,English
eng_AF_002_9.jpg,This
eng_AF_002_10.jpg,is
eng_AF_002_11.jpg,about
eng_AF_002_12.jpg,the
eng_AF_002_13.jpg,relationship
eng_AF_002_14.jpg,that
eng_AF_002_15.jpg,SPECIAL_CHARACTER
eng_AF_002_16.jpg,between
eng_AF_002_17.jpg,the
eng_AF_002_18.jpg,item
eng_AF_002_19.jpg,that
eng_AF_002_20.jpg,function
eng_AF_002_21.jpg,as
eng_AF_002_22.jpg,the
eng_AF_002_23.jpg,subjectand
eng_AF_002_24.jpg,the
eng_AF_002_25.jpg,items
eng_AF_002_26.jpg,occuring
eng_AF_002_27.jpg,as
eng_AF_002_28.jpg,a
eng_AF_002_29.jpg,users
eng_AF_002_30.jpg,Gremmath
eng_AF_002_31.jpg,cal
eng_AF_002_32.jpg,concord
eng_AF_002_33.jpg,This
eng_AF_002_34.jpg,is
eng_AF_002_35.jpg,about
eng_AF_002_36.jpg,the
eng_AF_002_37.jpg,relationship
eng_AF_002_38.jpg,that
eng_AF_002_39.jpg,coexists
eng_AF_002_40.jpg,between
eng_AF_002_41.jpg,the
eng_AF_002_42.jpg,subjectand
eng_AF_002_43.jpg,the
eng_AF_002_44.jpg,verb
eng_AF_002_45.jpg,Where
eng_AF_002_46.jpg,we
eng_AF_002_47.jpg,talk
eng_AF_002_48.jpg,about
eng_AF_002_49.jpg,"Concord,"
eng_AF_002_50.jpg,we
eng_AF_002_51.jpg,telk
eng_AF_002_52.jpg,about
eng_AF_002_53.jpg,grammar
eng_AF_002_54.jpg,Rules
eng_AF_002_55.jpg,of
eng_AF_002_56.jpg,cornorel
eng_AF_002_57.jpg,eblepimile
eng_AF_002_58.jpg,pronouns
eng_AF_002_59.jpg,would
eng_AF_002_60.jpg,generally
eng_AF_002_61.jpg,require
eng_AF_002_62.jpg,a
eng_AF_002_63.jpg,singular
eng_AF_002_64.jpg,verb
eng_AF_003_0.jpg,12/2/2020
eng_AF_003_1.jpg,Early
eng_AF_003_2.jpg,settlement
eng_AF_003_3.jpg,And
eng_AF_003_4.jpg,Inter
eng_AF_003_5.jpg,group
eng_AF_003_6.jpg,Relations
eng_AF_003_7.jpg,In
eng_AF_003_8.jpg,Southern
eng_AF_003_9.jpg,"Africa,"
eng_AF_003_10.jpg,to
eng_AF_003_11.jpg,1800.
eng_AF_003_12.jpg,course
eng_AF_003_13.jpg,Description
eng_AF_003_14.jpg,We
eng_AF_003_15.jpg,shall
eng_AF_003_16.jpg,study
eng_AF_003_17.jpg,indigenous
eng_AF_003_18.jpg,people
eng_AF_003_19.jpg,of
eng_AF_003_20.jpg,southern
eng_AF_003_21.jpg,Africa
